brandName,genericName,strength,formulation,category,aliases,betaAllowed
Pantadis-DSR 30mg/40mg Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantadix DSR Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantadoc 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantadom DSR Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantadom-SR Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantador-D Tablet,Domperidone,10mg,Tablet,PPIs/Reflux,"['Aciloc RD 20 Tablet', 'Alsar D 10mg/20mg Tablet', 'Arcopan D 10mg/40mg Tablet']",True
Pantadrug-DSR Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantafast 40 Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantafast-D Tablet,Domperidone,10mg,Tablet,PPIs/Reflux,"['Aciloc RD 20 Tablet', 'Alsar D 10mg/20mg Tablet', 'Arcopan D 10mg/40mg Tablet']",True
Pantafast-DSR Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantafide DSR Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantaflux D 30mg/40mg Capsule SR,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantafol 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantafol D Tablet,Domperidone,10mg,Tablet,PPIs/Reflux,"['Aciloc RD 20 Tablet', 'Alsar D 10mg/20mg Tablet', 'Arcopan D 10mg/40mg Tablet']",True
Pantafol DSR 30mg/40mg Capsule PR,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantafol-IT Capsule SR,Pantoprazole,40mg,Capsule,PPIs/Reflux,"['Alizol-IP 40mg/150mg Capsule SR', 'Amalzol-IT Capsule SR', 'Avtop I 40mg/150mg Capsule SR']",True
Pantafol-SL Capsule SR,Levosulpiride,75mg,Capsule,PPIs/Reflux,"['Acera-L Capsule SR', 'Acidart 75mg/20mg Capsule', 'Ansuper-Plus Capsule SR']",True
Pantafor DSR Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantaford 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantaford DSR 30mg/40mg Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantaford-DSR Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantag-D 10mg/40mg Tablet,Domperidone,10mg,Tablet,PPIs/Reflux,"['Aciloc RD 20 Tablet', 'Alsar D 10mg/20mg Tablet', 'Arcopan D 10mg/40mg Tablet']",True
Pantagard 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantagard-D Tablet,Domperidone,10mg,Tablet,PPIs/Reflux,"['Aciloc RD 20 Tablet', 'Alsar D 10mg/20mg Tablet', 'Arcopan D 10mg/40mg Tablet']",True
Pantagard-DSR 30mg/40mg Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantage 40 Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantage-DSR 30mg/40mg Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
