brandName,genericName,strength,formulation,category,aliases,betaAllowed
Veetel-AM Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Veetel-AMH Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Veetel-H Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Velol AM 5mg/25mg Tablet XL,Amlodipine,5mg,Tablet,Hypertension,"['Amlokind-AT Tablet', 'Amlokind 5 Tablet', 'Amlong Tablet']",True
Velol AM 5mg/50mg Tablet XL,Amlodipine,5mg,Tablet,Hypertension,"['Amlokind-AT Tablet', 'Amlokind 5 Tablet', 'Amlong Tablet']",True
Venpres 20 Tablet,Telmisartan,20mg,Tablet,Hypertension,"['Arbitel 20 Tablet', 'Antel 20mg Tablet', 'Abtelmi 20 Tablet']",True
Venpres 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Venpres A 40mg/10mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Venpres AMC 40mg/5mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Venpres AMH 40mg/5mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Venpres-AM Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Venpres-CH 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Venpres-H 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Venpres-M 50 Tablet ER,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vesrapril 5mg Tablet,Ramipril,5mg,Tablet,Hypertension,"['Acepril 5mg Tablet', 'AB-Ramprel 5 Tablet', 'Amipril 5mg Tablet']",True
Vesrapril AM 5mg/5mg Tablet,Amlodipine,5mg,Tablet,Hypertension,"['Amlokind-AT Tablet', 'Amlokind 5 Tablet', 'Amlong Tablet']",True
Vextel AM 40mg/5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vextel H 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vida 25mg Tablet,Losartan,25mg,Tablet,Hypertension,"['Angizaar 25 Tablet', 'Amlozaar 25 mg/5 mg Tablet', 'Asart 25mg Tablet']",True
Vida H 50mg/12.5mg Tablet,Losartan,50mg,Tablet,Hypertension,"['Amlozaar Tablet', 'Amlozaar-H Tablet', 'Asomex-LT Tablet']",True
Vilos H 50mg/12.5mg Tablet,Losartan,50mg,Tablet,Hypertension,"['Amlozaar Tablet', 'Amlozaar-H Tablet', 'Asomex-LT Tablet']",True
Vinicor-AM 25/2.5 Tablet PR,Amlodipine,2.5mg,Tablet,Hypertension,"['Amlong 2.5 Tablet', 'Amlokind 2.5 Tablet', 'Amlodac 2.5 Tablet']",True
Vinicor-AM 25/5 Tablet Tablet PR,Amlodipine,5mg,Tablet,Hypertension,"['Amlokind-AT Tablet', 'Amlokind 5 Tablet', 'Amlong Tablet']",True
Vinicor-AM 50/5 Tablet PR,Amlodipine,5mg,Tablet,Hypertension,"['Amlokind-AT Tablet', 'Amlokind 5 Tablet', 'Amlong Tablet']",True
Vintel 20mg Tablet,Telmisartan,20mg,Tablet,Hypertension,"['Arbitel 20 Tablet', 'Antel 20mg Tablet', 'Abtelmi 20 Tablet']",True
Vintel 40 Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vintel 40AM Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vintel 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vintel 80mg Tablet,Telmisartan,80mg,Tablet,Hypertension,"['Amlosafe 3D 80 Tablet', 'Amlosafe TM 80 Tablet', 'Arbitel 80 Tablet']",True
Vintel-CT Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vintel-CtC Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vintel-H 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vintel-H 80 Tablet,Telmisartan,80mg,Tablet,Hypertension,"['Amlosafe 3D 80 Tablet', 'Amlosafe TM 80 Tablet', 'Arbitel 80 Tablet']",True
Vintel-H40 Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vintel-M 25 Tablet ER,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vintel-M 50 Tablet ER,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vintol 50mg Tablet,Atenolol,50mg,Tablet,Hypertension,"['Aten 50 Tablet', 'Aten-D Tablet', 'Atecard D Tablet']",True
Vintol Plus 5mg/50mg Tablet,Amlodipine,5mg,Tablet,Hypertension,"['Amlokind-AT Tablet', 'Amlokind 5 Tablet', 'Amlong Tablet']",True
Viritel 40 Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Viritel-AM Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Viritel-H Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vistatel 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vistatel 80mg Tablet,Telmisartan,80mg,Tablet,Hypertension,"['Amlosafe 3D 80 Tablet', 'Amlosafe TM 80 Tablet', 'Arbitel 80 Tablet']",True
Vistatel AM 40mg/5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vistatel CH 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vistatel H 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vitabend T 4mg/40mg Tablet,Benidipine,4mg,Tablet,Hypertension,"['Benitowa-TM Tablet', 'Benitowa Trio Tablet', 'Benidin T 4mg/40mg Tablet']",True
Vitatel 40 Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vitatelmet Tablet ER,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vitel 20mg Tablet,Telmisartan,20mg,Tablet,Hypertension,"['Arbitel 20 Tablet', 'Antel 20mg Tablet', 'Abtelmi 20 Tablet']",True
Vitel 3D Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vitel 40 Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vitel 80 Tablet,Telmisartan,80mg,Tablet,Hypertension,"['Amlosafe 3D 80 Tablet', 'Amlosafe TM 80 Tablet', 'Arbitel 80 Tablet']",True
Vitel AM 40mg/5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vitel CT 40 Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vitel CT 80mg/12.5mg Tablet,Telmisartan,80mg,Tablet,Hypertension,"['Amlosafe 3D 80 Tablet', 'Amlosafe TM 80 Tablet', 'Arbitel 80 Tablet']",True
Vitel H 80mg/12.5mg Tablet,Telmisartan,80mg,Tablet,Hypertension,"['Amlosafe 3D 80 Tablet', 'Amlosafe TM 80 Tablet', 'Arbitel 80 Tablet']",True
Vitel M 40mg/25mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vitel M 40mg/50mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vivotel-A Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vivotel-CT Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Volmisar AM 20mg/5mg Tablet,Olmesartan Medoxomil,20mg,Tablet,Hypertension,"['Asomex-OH Tablet', 'Canvas O 20mg/5mg Tablet', 'Doltan AMH 20mg/5mg/12.5mg Tablet']",True
Vosepin T 10mg/40mg Tablet,Cilnidipine,10mg,Tablet,Hypertension,"['Acmetel-LN Tablet', 'Alvitel LN 10mg/40mg Tablet', 'Cilacar T Tablet']",True
Vptel 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vptel H 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vrisar 50mg Tablet,Losartan,50mg,Tablet,Hypertension,"['Amlozaar Tablet', 'Amlozaar-H Tablet', 'Asomex-LT Tablet']",True
Vrisar AM 50mg/5mg Tablet,Losartan,50mg,Tablet,Hypertension,"['Amlozaar Tablet', 'Amlozaar-H Tablet', 'Asomex-LT Tablet']",True
Vrisar H Plus 50mg/12.5mg Tablet,Losartan,50mg,Tablet,Hypertension,"['Amlozaar Tablet', 'Amlozaar-H Tablet', 'Asomex-LT Tablet']",True
Vrital 20mg Tablet,Telmisartan,20mg,Tablet,Hypertension,"['Arbitel 20 Tablet', 'Antel 20mg Tablet', 'Abtelmi 20 Tablet']",True
Vrital 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vrital 80mg Tablet,Telmisartan,80mg,Tablet,Hypertension,"['Amlosafe 3D 80 Tablet', 'Amlosafe TM 80 Tablet', 'Arbitel 80 Tablet']",True
Vrital AM 40mg/5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vrital H 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vrital H 80mg/12.5mg Tablet,Telmisartan,80mg,Tablet,Hypertension,"['Amlosafe 3D 80 Tablet', 'Amlosafe TM 80 Tablet', 'Arbitel 80 Tablet']",True
Vtel 40 Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vtel-A Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vtel-H Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vysart 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vysart-ACT Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Vysart-CT Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Walfix 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Walfix AM 40mg/5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Walfix H 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Wave Pril 2.5mg Tablet,Ramipril,2.5mg,Tablet,Hypertension,"['ACE 2.5mg Tablet', 'Acepril 2.5mg Tablet', 'AB-Ramprel 2.5mg Tablet']",True
Wave Pril 5mg Tablet,Ramipril,5mg,Tablet,Hypertension,"['Acepril 5mg Tablet', 'AB-Ramprel 5 Tablet', 'Amipril 5mg Tablet']",True
WayPril 2.5 Tablet,Ramipril,2.5mg,Tablet,Hypertension,"['ACE 2.5mg Tablet', 'Acepril 2.5mg Tablet', 'AB-Ramprel 2.5mg Tablet']",True
Welartan 20mg Tablet,Telmisartan,20mg,Tablet,Hypertension,"['Arbitel 20 Tablet', 'Antel 20mg Tablet', 'Abtelmi 20 Tablet']",True
Welartan 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Welartan 80mg Tablet,Telmisartan,80mg,Tablet,Hypertension,"['Amlosafe 3D 80 Tablet', 'Amlosafe TM 80 Tablet', 'Arbitel 80 Tablet']",True
Welartan C 40 mg/12.5 mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Welartan-M 40mg/25mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Welartan-M 50 Tablet ER,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Wellamo 10 Tablet,Amlodipine,10mg,Tablet,Hypertension,"['Amlong 10 Tablet', 'Amlip 10 Tablet', 'Amlopres 10 Tablet']",True
Wellamo 5 Tablet,Amlodipine,5mg,Tablet,Hypertension,"['Amlokind-AT Tablet', 'Amlokind 5 Tablet', 'Amlong Tablet']",True
Wellamo AT 5mg/50mg Tablet,Amlodipine,5mg,Tablet,Hypertension,"['Amlokind-AT Tablet', 'Amlokind 5 Tablet', 'Amlong Tablet']",True
Weltan 20mg Tablet,Telmisartan,20mg,Tablet,Hypertension,"['Arbitel 20 Tablet', 'Antel 20mg Tablet', 'Abtelmi 20 Tablet']",True
Weltan 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Weltan H 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Weltel H 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Weltelmi 20mg Tablet,Telmisartan,20mg,Tablet,Hypertension,"['Arbitel 20 Tablet', 'Antel 20mg Tablet', 'Abtelmi 20 Tablet']",True
Weltelmi 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Weltelmi 80mg Tablet,Telmisartan,80mg,Tablet,Hypertension,"['Amlosafe 3D 80 Tablet', 'Amlosafe TM 80 Tablet', 'Arbitel 80 Tablet']",True
Weltelmi CT 40 Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Weltelmi CT 80mg/12.5mg Tablet,Telmisartan,80mg,Tablet,Hypertension,"['Amlosafe 3D 80 Tablet', 'Amlosafe TM 80 Tablet', 'Arbitel 80 Tablet']",True
Weltelmi MT 25mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Weltelmi MT 40mg/50mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Weltelmi Trio 40mg/5mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Weltelmi-AM 40 Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Weltelmi-AM 80mg Tablet,Telmisartan,80mg,Tablet,Hypertension,"['Amlosafe 3D 80 Tablet', 'Amlosafe TM 80 Tablet', 'Arbitel 80 Tablet']",True
Winbp-AM 20 Tablet,Olmesartan Medoxomil,20mg,Tablet,Hypertension,"['Asomex-OH Tablet', 'Canvas O 20mg/5mg Tablet', 'Doltan AMH 20mg/5mg/12.5mg Tablet']",True
Winbp-AM 40 Tablet,Olmesartan Medoxomil,40mg,Tablet,Hypertension,"['Culmi A 40mg/5mg Tablet', 'Doltan AM 40mg/5mg Tablet', 'Ezisartan OAH 40mg/5mg/12.5mg Tablet']",True
Winbp-Trio 20 Tablet,Olmesartan Medoxomil,20mg,Tablet,Hypertension,"['Asomex-OH Tablet', 'Canvas O 20mg/5mg Tablet', 'Doltan AMH 20mg/5mg/12.5mg Tablet']",True
Windep AT 5mg/50mg Tablet,Amlodipine,5mg,Tablet,Hypertension,"['Amlokind-AT Tablet', 'Amlokind 5 Tablet', 'Amlong Tablet']",True
Winpace 2.5 Tablet,S-Amlodipine,2.5mg,Tablet,Hypertension,"['Asomex 2.5 Tablet', 'Asomex-TM Tablet', 'Amlovas S 2.5mg Tablet']",True
Winpace 2.5mg Tablet,Ramipril,2.5mg,Tablet,Hypertension,"['ACE 2.5mg Tablet', 'Acepril 2.5mg Tablet', 'AB-Ramprel 2.5mg Tablet']",True
Winpace 5 Tablet,S-Amlodipine,5mg,Tablet,Hypertension,"['Asomex 5 Tablet', 'Asomex-AT 5 Tablet', 'Amlovas S 5mg Tablet']",True
Winpace 5mg Tablet,Ramipril,5mg,Tablet,Hypertension,"['Acepril 5mg Tablet', 'AB-Ramprel 5 Tablet', 'Amipril 5mg Tablet']",True
Winpres AT 5mg/50mg Tablet,Amlodipine,5mg,Tablet,Hypertension,"['Amlokind-AT Tablet', 'Amlokind 5 Tablet', 'Amlong Tablet']",True
Winpres H 5mg/12.5mg Tablet,Amlodipine,5mg,Tablet,Hypertension,"['Amlokind-AT Tablet', 'Amlokind 5 Tablet', 'Amlong Tablet']",True
Winpres MT Tablet,Amlodipine,5mg,Tablet,Hypertension,"['Amlokind-AT Tablet', 'Amlokind 5 Tablet', 'Amlong Tablet']",True
Winten 25mg Tablet,Atenolol,25mg,Tablet,Hypertension,"['Aten 25 Tablet', 'Atenex 25mg Tablet', 'Atecard 25 Tablet']",True
Winten 50mg Tablet,Atenolol,50mg,Tablet,Hypertension,"['Aten 50 Tablet', 'Aten-D Tablet', 'Atecard D Tablet']",True
Wisartif 50mg Tablet,Losartan,50mg,Tablet,Hypertension,"['Amlozaar Tablet', 'Amlozaar-H Tablet', 'Asomex-LT Tablet']",True
Wisartif H 50mg/12.5mg Tablet,Losartan,50mg,Tablet,Hypertension,"['Amlozaar Tablet', 'Amlozaar-H Tablet', 'Asomex-LT Tablet']",True
Wismitel-H 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Wonsart 40 Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Wonsart 40H Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Wonsart-AM Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Wonsart-Amh Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Wotel 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Wotel AMH 40mg/5mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
X Pril 2.5mg Tablet,Ramipril,2.5mg,Tablet,Hypertension,"['ACE 2.5mg Tablet', 'Acepril 2.5mg Tablet', 'AB-Ramprel 2.5mg Tablet']",True
X Pril 5mg Tablet,Ramipril,5mg,Tablet,Hypertension,"['Acepril 5mg Tablet', 'AB-Ramprel 5 Tablet', 'Amipril 5mg Tablet']",True
Xadotel 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xadotel H 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xeltelm A 40mg/5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xeltelm CH 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xeltelm H 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xirtam AM Tablet,Olmesartan Medoxomil,20mg,Tablet,Hypertension,"['Asomex-OH Tablet', 'Canvas O 20mg/5mg Tablet', 'Doltan AMH 20mg/5mg/12.5mg Tablet']",True
Xstan 20mg Tablet,Telmisartan,20mg,Tablet,Hypertension,"['Arbitel 20 Tablet', 'Antel 20mg Tablet', 'Abtelmi 20 Tablet']",True
Xstan 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xstan Beta 40mg/25mg Tablet ER,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xstan Beta 50 Tablet ER,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xstan-AM Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xstan-AMH Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xstan-H 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xstan-H Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xynotel 3D 40mg/5mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xynotel 40mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xynotel CT 40mg/12.5mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xynotel MT 40mg/25mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xynotel MT 40mg/50mg Tablet,Telmisartan,40mg,Tablet,Hypertension,"['Amlosafe 3D Tablet', 'Amlopres TL Tablet', 'Amlosafe TM 40 Tablet']",True
Xypril 2.5mg Capsule,Ramipril,2.5mg,Capsule,Hypertension,"['Cardiopril 2.5 Capsule', 'Cardika 2.5mg Capsule', 'Hopecard 2.5 Capsule']",True
Xypril 5mg Capsule,Ramipril,5mg,Capsule,Hypertension,"['Atorec R 5mg/10mg Capsule', 'Cardiopril 5 Capsule', 'Hopace-H 5 Capsule']",True
Xypril H 2.5mg/12.5mg Capsule,Ramipril,2.5mg,Capsule,Hypertension,"['Cardiopril 2.5 Capsule', 'Cardika 2.5mg Capsule', 'Hopecard 2.5 Capsule']",True
Xytel 20mg Tablet,Telmisartan,20mg,Tablet,Hypertension,"['Arbitel 20 Tablet', 'Antel 20mg Tablet', 'Abtelmi 20 Tablet']",True
